Title,Company,Career,Reward,Link
VISION AI 솔루션 Python 웹서비스 백엔드 개발(3년~5년),에이아이썸, 경력 3-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/331569
Agentic 응용앱 개발자,다키클라우드코리아, 경력 2년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/325529
Global Business Manager,글루가(ohora/오호라), 경력 2년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/327865
AI보안솔루션 개발,윈스테크넷, 경력 1-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/329646
Senior AI Research Engineer,포도노스, 경력 3-20년, 합격보상금 100만원, https://www.wanted.co.kr/wd/267795
악성코드 분석 개발,윈스테크넷, 경력 1-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/329650
AI Agent Engineer (Python/TypeScript, 2~5년),호두랩스, 경력 2-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/325256
보안 솔루션 백엔드 개발,아이씨티케이, 경력 5-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/311775
VISION AI 솔루션 Python 웹서비스 백엔드 개발(3년~5년),에이아이썸, 경력 3-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/331569
Agentic 응용앱 개발자,다키클라우드코리아, 경력 2년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/325529
Global Business Manager,글루가(ohora/오호라), 경력 2년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/327865
AI보안솔루션 개발,윈스테크넷, 경력 1-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/329646
Senior AI Research Engineer,포도노스, 경력 3-20년, 합격보상금 100만원, https://www.wanted.co.kr/wd/267795
악성코드 분석 개발,윈스테크넷, 경력 1-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/329650
AI Agent Engineer (Python/TypeScript, 2~5년),호두랩스, 경력 2-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/325256
보안 솔루션 백엔드 개발,아이씨티케이, 경력 5-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/311775
파이썬 C 임베디드 담당자,제이투케이, 경력 1-35년, 합격보상금 100만원, https://www.wanted.co.kr/wd/330207
Python Back-end Engineer (3년 이상),올거나이즈코리아(Allganize Korea), 경력 3-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/321072
AI Engineer - 3년 이상,샵라이브, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/284491
FDSE Lead (솔루션 엔지니어 / 필드 소프트웨어 엔지니어),올거나이즈코리아(Allganize Korea), 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/330205
Forward Deployed Engineer - LLM,마키나락스, 경력 2-8년, 합격보상금 100만원, https://www.wanted.co.kr/wd/225016
추천 시스템 개발자,에이엑스지(axz), 경력 1-3년, 합격보상금 100만원, https://www.wanted.co.kr/wd/331789
AI개발 엔지니어 개발자 (3년 이상),쎄듀, 경력 3-8년, 합격보상금 100만원, https://www.wanted.co.kr/wd/328530
클라우드 개발자 (백엔드/DevOps),파이오링크, 경력 2-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/281795
[미리디] 시니어 데이터 분석가 (Senior Data Analyst),미리디, 경력 7-13년, 합격보상금 100만원, https://www.wanted.co.kr/wd/328205
파이썬 개발자 (3년 이상 7년 이하),우주프로퍼티매니지먼트, 경력 3-7년, 합격보상금 100만원, https://www.wanted.co.kr/wd/325993
[전문연구요원(병역특례)] NLP/LLM 엔지니어,에이아이웍스, 경력 2-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/293417
[아이디어스] Senior Product Data Analyst (5년 이상),백패커, 경력 5-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/309089
APT보안솔루션 개발,윈스테크넷, 경력 1-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/329656
ML 엔지니어,에이아이구루, 경력 1-6년, 합격보상금 100만원, https://www.wanted.co.kr/wd/294346
개발팀장 (개발팀 리드),코넥시오에이치, 경력 10-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/310098
Back-End engineer(Java),앰버로드, 경력 5-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/202695
AI Research Engineer (LLM Application),시나몬, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/303541
전기차충전업 백엔드 엔지니어,플러그링크, 경력 5-8년, 합격보상금 100만원, https://www.wanted.co.kr/wd/314349
Data Engineer (전문연구요원 가능),뉴로퓨전, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/325377
Python Algorithm Engineer (파이썬 개발자),제너레잇, 경력 3-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/329334
프로덕트 소프트웨어 엔지니어,모모그룹, 경력 3-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/331067
Data Infra Engineer,몽구스에이아이, 신입, 합격보상금 100만원, https://www.wanted.co.kr/wd/330571
AI Engineer (병특 전문연구요원가능),코코네엔지니어링, 경력 1년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/255120
클라우드 풀스택 엔지니어,엘리스, 경력 3-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/330270
SCM Data Analyst,글루가(ohora/오호라), 경력 2년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/322587
Research Engineer - Vison Foundation Models,네트로피, 경력 2-7년, 합격보상금 100만원, https://www.wanted.co.kr/wd/241097
풀스택 개발자,스페이스, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/318328
AI 물류 AI/ML 연구원,아로아랩스, 경력 3-8년, 합격보상금 100만원, https://www.wanted.co.kr/wd/327687
AI Engineer,플랜바이테크놀로지스, 경력 1-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/249770
AI 음성합성 및 음성대화 연구원 (전문연구요원가능),네오사피엔스(타입캐스트), 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/319750
Data Scientist,휴톰, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/287500
[AI사업] AI 서비스 백엔드 개발자,누리미디어(DBpia), 경력 3-8년, 합격보상금 100만원, https://www.wanted.co.kr/wd/277890
AI Engineer,몽구스에이아이, 신입, 합격보상금 100만원, https://www.wanted.co.kr/wd/329921
AI 데이터 솔루션 풀스택 개발자 (4년 이상),로이드케이, 경력 4-21년, 합격보상금 100만원, https://www.wanted.co.kr/wd/328857
AI Engineer,에이뉴트, 경력 2년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/326282
헬스케어 도메인 생성형 AI 개발자,맨인블록, 경력 1-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/323918
MLOps 플랫폼 개발자 (Hyperscale AI GPUaaS),다키클라우드코리아, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/325537
빅데이터 솔루션 데이터 엔지니어 (3년 이상),로이드케이, 경력 3-12년, 합격보상금 100만원, https://www.wanted.co.kr/wd/314983
AI 개발자,레디포스트, 경력 5-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/322575
개발팀 Tech Innovation 워킹그룹 풀스택 개발자 (8년 이상),프리윌린, 경력 8년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/261839
멀티모달 모델 엔지니어,아티스트컴퍼니, 경력 2-5년, 합격보상금 100만원, https://www.wanted.co.kr/wd/324698
Solution Engineer,에이아이트릭스(AITRICS), 경력 1-7년, 합격보상금 100만원, https://www.wanted.co.kr/wd/285776
LLM 지식검색 인공지능 AI 연구원(석사이상),보로노이, 경력 4-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/233704
Vision AI 분석엔진 코어 개발 및 유지보수,씨이랩, 경력 3-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/303825
로봇 소프트웨어 엔지니어,제이투케이, 신입 · 계약직, 합격보상금 20만원, https://www.wanted.co.kr/wd/294718
VISION AI 솔루션 Python 웹서비스 백엔드 개발(6년~10년),에이아이썸, 경력 6-10년, 합격보상금 100만원, https://www.wanted.co.kr/wd/331570
웹 프론트엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly), 경력 5년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/296319
웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly), 경력 5년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/296313
시스템 엔지니어 - IT 솔루션 구축 및 장애 대응,팀벨, 경력 1년, 합격보상금 100만원, https://www.wanted.co.kr/wd/311936
Data analytics engineer,온다(ONDA), 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/329090
Backend Tech Lead,에이아이트릭스(AITRICS), 경력 10-15년, 합격보상금 100만원, https://www.wanted.co.kr/wd/327869
NVIDIA Omniverse 관련Python 개발자,씨이랩, 경력 3년 이상, 합격보상금 100만원, https://www.wanted.co.kr/wd/303824
